song,artist,genre,rating
Jugnu (feat. Nikhita Gandhi),Badshah,Pop,92
Maan Meri Jaan,King,Pop,90
Piya Basanti,Ustad Sultan Khan; Chitra,Pop,85
High Rated Gabru,Guru Randhawa,Pop,88
Dheeme Dheeme,Tony Kakkar,Pop,86
Tauba Tauba,Karan Aujla,Dance,94
Ishq Jaisa Kuch,Vishal-Shekhar; Vishal Dadlani; Shekhar Ravjiani; Shilpa Rao; Mellow D,Dance,91
Aaj Ki Raat,Ajay-Atul; Sachet Tandon; Madhubanti Bagchi,Dance,89
Naacho Naacho,Vishal Mishra; Rahul Sipligunj,Dance,87
MANIAC,Yo Yo Honey Singh,Dance,90
Tumse Bhi Zyada,Arijit Singh,Blues,88
Heeriye,Arijit Singh; Jasleen Royal,Blues,86
Dil Diyan Gallan,Atif Aslam,Blues,84
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Blues,82
Muskurane Ki Wajah,Arijit Singh,Blues,85
Phir Le Aya Dil,Pritam; Rekha Bhardwaj,Acoustic,83
Tum Hi Ho,Arijit Singh,Acoustic,87
Hawayein,Arijit Singh,Acoustic,85
Jeene Laga Hoon,Atif Aslam; Shreya Ghoshal,Acoustic,84
Channa Mereya,Arijit Singh,Acoustic,86
Aana Meri Gully,Euphoria,Rock,80
Akh,Robby Ladhar,Rock,78
Zehnaseeb,Chinmayi Sripada; Shekhar Ravjiani,Rock,82
Tum Todo Na,Ash King; Sunidhi Chauhan,Rock,79
Sadda Haq,A. R. Rahman; Mohit Chauhan,Rock,83
Jo Tum Mere Ho,Anuv Jain,Classical,81
O Ri Chiraiya,Swanand Kirkire,Classical,80
Pashmina,Amit Trivedi,Classical,82
Saiyaara,Mohit Chauhan; Tarannum Malik,Classical,79
Iktara,Kavita Seth; Amitabh Bhattacharya,Classical,84
